Date,Year,Month,Month Name,Month Short,Quarter,Day,Day of Week,Day Name,Week of Year,Is Weekend
07/04/2024,2024,7,July,Jul,Q3,4,4,Thursday,27,0
07/11/2024,2024,7,July,Jul,Q3,11,4,Thursday,28,0
07/18/2024,2024,7,July,Jul,Q3,18,4,Thursday,29,0
07/25/2024,2024,7,July,Jul,Q3,25,4,Thursday,30,0
08/01/2024,2024,8,August,Aug,Q3,1,4,Thursday,31,0
08/08/2024,2024,8,August,Aug,Q3,8,4,Thursday,32,0
08/15/2024,2024,8,August,Aug,Q3,15,4,Thursday,33,0
08/22/2024,2024,8,August,Aug,Q3,22,4,Thursday,34,0
08/29/2024,2024,8,August,Aug,Q3,29,4,Thursday,35,0
09/05/2024,2024,9,September,Sep,Q3,5,4,Thursday,36,0
09/12/2024,2024,9,September,Sep,Q3,12,4,Thursday,37,0
09/19/2024,2024,9,September,Sep,Q3,19,4,Thursday,38,0
09/26/2024,2024,9,September,Sep,Q3,26,4,Thursday,39,0
10/03/2024,2024,10,October,Oct,Q4,3,4,Thursday,40,0
10/10/2024,2024,10,October,Oct,Q4,10,4,Thursday,41,0
10/17/2024,2024,10,October,Oct,Q4,17,4,Thursday,42,0
10/24/2024,2024,10,October,Oct,Q4,24,4,Thursday,43,0
10/31/2024,2024,10,October,Oct,Q4,31,4,Thursday,44,0
11/07/2024,2024,11,November,Nov,Q4,7,4,Thursday,45,0
11/14/2024,2024,11,November,Nov,Q4,14,4,Thursday,46,0
11/21/2024,2024,11,November,Nov,Q4,21,4,Thursday,47,0
11/28/2024,2024,11,November,Nov,Q4,28,4,Thursday,48,0
12/05/2024,2024,12,December,Dec,Q4,5,4,Thursday,49,0
12/12/2024,2024,12,December,Dec,Q4,12,4,Thursday,50,0
12/19/2024,2024,12,December,Dec,Q4,19,4,Thursday,51,0
12/26/2024,2024,12,December,Dec,Q4,26,4,Thursday,52,0
06/17/2024,2024,6,June,Jun,Q2,17,1,Monday,25,0
06/24/2024,2024,6,June,Jun,Q2,24,1,Monday,26,0
07/01/2024,2024,7,July,Jul,Q3,1,1,Monday,27,0
07/08/2024,2024,7,July,Jul,Q3,8,1,Monday,28,0
07/15/2024,2024,7,July,Jul,Q3,15,1,Monday,29,0
07/22/2024,2024,7,July,Jul,Q3,22,1,Monday,30,0
07/29/2024,2024,7,July,Jul,Q3,29,1,Monday,31,0
08/05/2024,2024,8,August,Aug,Q3,5,1,Monday,32,0
08/12/2024,2024,8,August,Aug,Q3,12,1,Monday,33,0
08/19/2024,2024,8,August,Aug,Q3,19,1,Monday,34,0
08/26/2024,2024,8,August,Aug,Q3,26,1,Monday,35,0
09/02/2024,2024,9,September,Sep,Q3,2,1,Monday,36,0
09/09/2024,2024,9,September,Sep,Q3,9,1,Monday,37,0
09/16/2024,2024,9,September,Sep,Q3,16,1,Monday,38,0
09/23/2024,2024,9,September,Sep,Q3,23,1,Monday,39,0
09/30/2024,2024,9,September,Sep,Q3,30,1,Monday,40,0
10/07/2024,2024,10,October,Oct,Q4,7,1,Monday,41,0
10/14/2024,2024,10,October,Oct,Q4,14,1,Monday,42,0
10/21/2024,2024,10,October,Oct,Q4,21,1,Monday,43,0
10/28/2024,2024,10,October,Oct,Q4,28,1,Monday,44,0
11/04/2024,2024,11,November,Nov,Q4,4,1,Monday,45,0
11/11/2024,2024,11,November,Nov,Q4,11,1,Monday,46,0
11/18/2024,2024,11,November,Nov,Q4,18,1,Monday,47,0
11/25/2024,2024,11,November,Nov,Q4,25,1,Monday,48,0
12/02/2024,2024,12,December,Dec,Q4,2,1,Monday,49,0
12/09/2024,2024,12,December,Dec,Q4,9,1,Monday,50,0
12/16/2024,2024,12,December,Dec,Q4,16,1,Monday,51,0
12/23/2024,2024,12,December,Dec,Q4,23,1,Monday,52,0
12/30/2024,2024,12,December,Dec,Q4,30,1,Monday,53,0
06/16/2024,2024,6,June,Jun,Q2,16,0,Sunday,25,0
06/23/2024,2024,6,June,Jun,Q2,23,0,Sunday,26,0
06/30/2024,2024,6,June,Jun,Q2,30,0,Sunday,27,0
07/07/2024,2024,7,July,Jul,Q3,7,0,Sunday,28,0
07/14/2024,2024,7,July,Jul,Q3,14,0,Sunday,29,0
07/21/2024,2024,7,July,Jul,Q3,21,0,Sunday,30,0
07/28/2024,2024,7,July,Jul,Q3,28,0,Sunday,31,0
08/04/2024,2024,8,August,Aug,Q3,4,0,Sunday,32,0
08/11/2024,2024,8,August,Aug,Q3,11,0,Sunday,33,0
08/18/2024,2024,8,August,Aug,Q3,18,0,Sunday,34,0
08/25/2024,2024,8,August,Aug,Q3,25,0,Sunday,35,0
09/01/2024,2024,9,September,Sep,Q3,1,0,Sunday,36,0
09/08/2024,2024,9,September,Sep,Q3,8,0,Sunday,37,0
09/15/2024,2024,9,September,Sep,Q3,15,0,Sunday,38,0
09/22/2024,2024,9,September,Sep,Q3,22,0,Sunday,39,0
09/29/2024,2024,9,September,Sep,Q3,29,0,Sunday,40,0
10/06/2024,2024,10,October,Oct,Q4,6,0,Sunday,41,0
10/13/2024,2024,10,October,Oct,Q4,13,0,Sunday,42,0
10/20/2024,2024,10,October,Oct,Q4,20,0,Sunday,43,0
10/27/2024,2024,10,October,Oct,Q4,27,0,Sunday,44,0
11/03/2024,2024,11,November,Nov,Q4,3,0,Sunday,45,0
11/10/2024,2024,11,November,Nov,Q4,10,0,Sunday,46,0
11/17/2024,2024,11,November,Nov,Q4,17,0,Sunday,47,0
11/24/2024,2024,11,November,Nov,Q4,24,0,Sunday,48,0
12/01/2024,2024,12,December,Dec,Q4,1,0,Sunday,49,0
12/08/2024,2024,12,December,Dec,Q4,8,0,Sunday,50,0
12/15/2024,2024,12,December,Dec,Q4,15,0,Sunday,51,0
12/22/2024,2024,12,December,Dec,Q4,22,0,Sunday,52,0
12/29/2024,2024,12,December,Dec,Q4,29,0,Sunday,53,0
03/06/2025,2025,3,March,Mar,Q1,6,4,Thursday,10,0
03/13/2025,2025,3,March,Mar,Q1,13,4,Thursday,11,0
03/20/2025,2025,3,March,Mar,Q1,20,4,Thursday,12,0
03/27/2025,2025,3,March,Mar,Q1,27,4,Thursday,13,0
03/03/2025,2025,3,March,Mar,Q1,3,1,Monday,10,0
03/10/2025,2025,3,March,Mar,Q1,10,1,Monday,11,0
03/17/2025,2025,3,March,Mar,Q1,17,1,Monday,12,0
03/24/2025,2025,3,March,Mar,Q1,24,1,Monday,13,0
03/31/2025,2025,3,March,Mar,Q1,31,1,Monday,14,0
03/02/2025,2025,3,March,Mar,Q1,2,0,Sunday,10,0
03/09/2025,2025,3,March,Mar,Q1,9,0,Sunday,11,0
03/16/2025,2025,3,March,Mar,Q1,16,0,Sunday,12,0
03/23/2025,2025,3,March,Mar,Q1,23,0,Sunday,13,0
03/30/2025,2025,3,March,Mar,Q1,30,0,Sunday,14,0
01/02/2025,2025,1,January,Jan,Q1,2,4,Thursday,1,0
01/09/2025,2025,1,January,Jan,Q1,9,4,Thursday,2,0
01/16/2025,2025,1,January,Jan,Q1,16,4,Thursday,3,0
01/23/2025,2025,1,January,Jan,Q1,23,4,Thursday,4,0
01/30/2025,2025,1,January,Jan,Q1,30,4,Thursday,5,0
02/06/2025,2025,2,February,Feb,Q1,6,4,Thursday,6,0
02/13/2025,2025,2,February,Feb,Q1,13,4,Thursday,7,0
02/20/2025,2025,2,February,Feb,Q1,20,4,Thursday,8,0
02/27/2025,2025,2,February,Feb,Q1,27,4,Thursday,9,0
01/06/2025,2025,1,January,Jan,Q1,6,1,Monday,2,0
01/13/2025,2025,1,January,Jan,Q1,13,1,Monday,3,0
01/20/2025,2025,1,January,Jan,Q1,20,1,Monday,4,0
01/27/2025,2025,1,January,Jan,Q1,27,1,Monday,5,0
02/03/2025,2025,2,February,Feb,Q1,3,1,Monday,6,0
02/10/2025,2025,2,February,Feb,Q1,10,1,Monday,7,0
02/17/2025,2025,2,February,Feb,Q1,17,1,Monday,8,0
02/24/2025,2025,2,February,Feb,Q1,24,1,Monday,9,0
01/05/2025,2025,1,January,Jan,Q1,5,0,Sunday,2,0
01/12/2025,2025,1,January,Jan,Q1,12,0,Sunday,3,0
01/19/2025,2025,1,January,Jan,Q1,19,0,Sunday,4,0
01/26/2025,2025,1,January,Jan,Q1,26,0,Sunday,5,0
02/02/2025,2025,2,February,Feb,Q1,2,0,Sunday,6,0
02/09/2025,2025,2,February,Feb,Q1,9,0,Sunday,7,0
02/16/2025,2025,2,February,Feb,Q1,16,0,Sunday,8,0
02/23/2025,2025,2,February,Feb,Q1,23,0,Sunday,9,0
05/01/2025,2025,5,May,May,Q2,1,4,Thursday,18,0
05/08/2025,2025,5,May,May,Q2,8,4,Thursday,19,0
05/15/2025,2025,5,May,May,Q2,15,4,Thursday,20,0
05/22/2025,2025,5,May,May,Q2,22,4,Thursday,21,0
05/29/2025,2025,5,May,May,Q2,29,4,Thursday,22,0
05/05/2025,2025,5,May,May,Q2,5,1,Monday,19,0
05/12/2025,2025,5,May,May,Q2,12,1,Monday,20,0
05/19/2025,2025,5,May,May,Q2,19,1,Monday,21,0
05/26/2025,2025,5,May,May,Q2,26,1,Monday,22,0
05/04/2025,2025,5,May,May,Q2,4,0,Sunday,19,0
05/11/2025,2025,5,May,May,Q2,11,0,Sunday,20,0
05/18/2025,2025,5,May,May,Q2,18,0,Sunday,21,0
05/25/2025,2025,5,May,May,Q2,25,0,Sunday,22,0
04/03/2025,2025,4,April,Apr,Q2,3,4,Thursday,14,0
04/10/2025,2025,4,April,Apr,Q2,10,4,Thursday,15,0
04/17/2025,2025,4,April,Apr,Q2,17,4,Thursday,16,0
04/24/2025,2025,4,April,Apr,Q2,24,4,Thursday,17,0
04/07/2025,2025,4,April,Apr,Q2,7,1,Monday,15,0
04/14/2025,2025,4,April,Apr,Q2,14,1,Monday,16,0
04/21/2025,2025,4,April,Apr,Q2,21,1,Monday,17,0
04/28/2025,2025,4,April,Apr,Q2,28,1,Monday,18,0
04/06/2025,2025,4,April,Apr,Q2,6,0,Sunday,15,0
04/13/2025,2025,4,April,Apr,Q2,13,0,Sunday,16,0
04/20/2025,2025,4,April,Apr,Q2,20,0,Sunday,17,0
04/27/2025,2025,4,April,Apr,Q2,27,0,Sunday,18,0
06/05/2025,2025,6,June,Jun,Q2,5,4,Thursday,23,0
06/12/2025,2025,6,June,Jun,Q2,12,4,Thursday,24,0
06/02/2025,2025,6,June,Jun,Q2,2,1,Monday,23,0
06/09/2025,2025,6,June,Jun,Q2,9,1,Monday,24,0
06/01/2025,2025,6,June,Jun,Q2,1,0,Sunday,23,0
06/08/2025,2025,6,June,Jun,Q2,8,0,Sunday,24,0
06/19/2024,2024,6,June,Jun,Q2,19,3,Wednesday,25,0
06/26/2024,2024,6,June,Jun,Q2,26,3,Wednesday,26,0
07/03/2024,2024,7,July,Jul,Q3,3,3,Wednesday,27,0
07/10/2024,2024,7,July,Jul,Q3,10,3,Wednesday,28,0
07/17/2024,2024,7,July,Jul,Q3,17,3,Wednesday,29,0
07/24/2024,2024,7,July,Jul,Q3,24,3,Wednesday,30,0
07/31/2024,2024,7,July,Jul,Q3,31,3,Wednesday,31,0
08/07/2024,2024,8,August,Aug,Q3,7,3,Wednesday,32,0
08/14/2024,2024,8,August,Aug,Q3,14,3,Wednesday,33,0
08/21/2024,2024,8,August,Aug,Q3,21,3,Wednesday,34,0
08/28/2024,2024,8,August,Aug,Q3,28,3,Wednesday,35,0
09/04/2024,2024,9,September,Sep,Q3,4,3,Wednesday,36,0
09/11/2024,2024,9,September,Sep,Q3,11,3,Wednesday,37,0
09/18/2024,2024,9,September,Sep,Q3,18,3,Wednesday,38,0
09/25/2024,2024,9,September,Sep,Q3,25,3,Wednesday,39,0
10/02/2024,2024,10,October,Oct,Q4,2,3,Wednesday,40,0
10/09/2024,2024,10,October,Oct,Q4,9,3,Wednesday,41,0
10/16/2024,2024,10,October,Oct,Q4,16,3,Wednesday,42,0
10/23/2024,2024,10,October,Oct,Q4,23,3,Wednesday,43,0
10/30/2024,2024,10,October,Oct,Q4,30,3,Wednesday,44,0
11/06/2024,2024,11,November,Nov,Q4,6,3,Wednesday,45,0
11/13/2024,2024,11,November,Nov,Q4,13,3,Wednesday,46,0
11/20/2024,2024,11,November,Nov,Q4,20,3,Wednesday,47,0
11/27/2024,2024,11,November,Nov,Q4,27,3,Wednesday,48,0
12/04/2024,2024,12,December,Dec,Q4,4,3,Wednesday,49,0
12/11/2024,2024,12,December,Dec,Q4,11,3,Wednesday,50,0
12/18/2024,2024,12,December,Dec,Q4,18,3,Wednesday,51,0
12/25/2024,2024,12,December,Dec,Q4,25,3,Wednesday,52,0
01/01/2025,2025,1,January,Jan,Q1,1,3,Wednesday,1,0
01/08/2025,2025,1,January,Jan,Q1,8,3,Wednesday,2,0
01/15/2025,2025,1,January,Jan,Q1,15,3,Wednesday,3,0
01/22/2025,2025,1,January,Jan,Q1,22,3,Wednesday,4,0
01/29/2025,2025,1,January,Jan,Q1,29,3,Wednesday,5,0
02/05/2025,2025,2,February,Feb,Q1,5,3,Wednesday,6,0
02/12/2025,2025,2,February,Feb,Q1,12,3,Wednesday,7,0
02/19/2025,2025,2,February,Feb,Q1,19,3,Wednesday,8,0
02/26/2025,2025,2,February,Feb,Q1,26,3,Wednesday,9,0
03/05/2025,2025,3,March,Mar,Q1,5,3,Wednesday,10,0
03/12/2025,2025,3,March,Mar,Q1,12,3,Wednesday,11,0
03/19/2025,2025,3,March,Mar,Q1,19,3,Wednesday,12,0
03/26/2025,2025,3,March,Mar,Q1,26,3,Wednesday,13,0
04/02/2025,2025,4,April,Apr,Q2,2,3,Wednesday,14,0
04/09/2025,2025,4,April,Apr,Q2,9,3,Wednesday,15,0
04/16/2025,2025,4,April,Apr,Q2,16,3,Wednesday,16,0
04/23/2025,2025,4,April,Apr,Q2,23,3,Wednesday,17,0
04/30/2025,2025,4,April,Apr,Q2,30,3,Wednesday,18,0
05/07/2025,2025,5,May,May,Q2,7,3,Wednesday,19,0
05/14/2025,2025,5,May,May,Q2,14,3,Wednesday,20,0
05/21/2025,2025,5,May,May,Q2,21,3,Wednesday,21,0
05/28/2025,2025,5,May,May,Q2,28,3,Wednesday,22,0
06/04/2025,2025,6,June,Jun,Q2,4,3,Wednesday,23,0
06/11/2025,2025,6,June,Jun,Q2,11,3,Wednesday,24,0
06/18/2024,2024,6,June,Jun,Q2,18,2,Tuesday,25,0
06/25/2024,2024,6,June,Jun,Q2,25,2,Tuesday,26,0
07/02/2024,2024,7,July,Jul,Q3,2,2,Tuesday,27,0
07/09/2024,2024,7,July,Jul,Q3,9,2,Tuesday,28,0
07/16/2024,2024,7,July,Jul,Q3,16,2,Tuesday,29,0
07/23/2024,2024,7,July,Jul,Q3,23,2,Tuesday,30,0
07/30/2024,2024,7,July,Jul,Q3,30,2,Tuesday,31,0
08/06/2024,2024,8,August,Aug,Q3,6,2,Tuesday,32,0
08/13/2024,2024,8,August,Aug,Q3,13,2,Tuesday,33,0
08/20/2024,2024,8,August,Aug,Q3,20,2,Tuesday,34,0
08/27/2024,2024,8,August,Aug,Q3,27,2,Tuesday,35,0
09/03/2024,2024,9,September,Sep,Q3,3,2,Tuesday,36,0
09/10/2024,2024,9,September,Sep,Q3,10,2,Tuesday,37,0
09/17/2024,2024,9,September,Sep,Q3,17,2,Tuesday,38,0
09/24/2024,2024,9,September,Sep,Q3,24,2,Tuesday,39,0
10/01/2024,2024,10,October,Oct,Q4,1,2,Tuesday,40,0
10/08/2024,2024,10,October,Oct,Q4,8,2,Tuesday,41,0
10/15/2024,2024,10,October,Oct,Q4,15,2,Tuesday,42,0
10/22/2024,2024,10,October,Oct,Q4,22,2,Tuesday,43,0
10/29/2024,2024,10,October,Oct,Q4,29,2,Tuesday,44,0
11/05/2024,2024,11,November,Nov,Q4,5,2,Tuesday,45,0
11/12/2024,2024,11,November,Nov,Q4,12,2,Tuesday,46,0
11/19/2024,2024,11,November,Nov,Q4,19,2,Tuesday,47,0
11/26/2024,2024,11,November,Nov,Q4,26,2,Tuesday,48,0
12/03/2024,2024,12,December,Dec,Q4,3,2,Tuesday,49,0
12/10/2024,2024,12,December,Dec,Q4,10,2,Tuesday,50,0
12/17/2024,2024,12,December,Dec,Q4,17,2,Tuesday,51,0
12/24/2024,2024,12,December,Dec,Q4,24,2,Tuesday,52,0
12/31/2024,2024,12,December,Dec,Q4,31,2,Tuesday,53,0
01/07/2025,2025,1,January,Jan,Q1,7,2,Tuesday,2,0
01/14/2025,2025,1,January,Jan,Q1,14,2,Tuesday,3,0
01/21/2025,2025,1,January,Jan,Q1,21,2,Tuesday,4,0
01/28/2025,2025,1,January,Jan,Q1,28,2,Tuesday,5,0
02/04/2025,2025,2,February,Feb,Q1,4,2,Tuesday,6,0
02/11/2025,2025,2,February,Feb,Q1,11,2,Tuesday,7,0
02/18/2025,2025,2,February,Feb,Q1,18,2,Tuesday,8,0
02/25/2025,2025,2,February,Feb,Q1,25,2,Tuesday,9,0
03/04/2025,2025,3,March,Mar,Q1,4,2,Tuesday,10,0
03/11/2025,2025,3,March,Mar,Q1,11,2,Tuesday,11,0
03/18/2025,2025,3,March,Mar,Q1,18,2,Tuesday,12,0
03/25/2025,2025,3,March,Mar,Q1,25,2,Tuesday,13,0
04/01/2025,2025,4,April,Apr,Q2,1,2,Tuesday,14,0
04/08/2025,2025,4,April,Apr,Q2,8,2,Tuesday,15,0
04/15/2025,2025,4,April,Apr,Q2,15,2,Tuesday,16,0
04/22/2025,2025,4,April,Apr,Q2,22,2,Tuesday,17,0
04/29/2025,2025,4,April,Apr,Q2,29,2,Tuesday,18,0
05/06/2025,2025,5,May,May,Q2,6,2,Tuesday,19,0
05/13/2025,2025,5,May,May,Q2,13,2,Tuesday,20,0
05/20/2025,2025,5,May,May,Q2,20,2,Tuesday,21,0
05/27/2025,2025,5,May,May,Q2,27,2,Tuesday,22,0
06/03/2025,2025,6,June,Jun,Q2,3,2,Tuesday,23,0
06/10/2025,2025,6,June,Jun,Q2,10,2,Tuesday,24,0
